index,Unnamed: 0,ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE,sebastian_present,catherine_present,baptist_present,jerome_present,francis_present,magdalene_present,mark_present,lucy_present,evangelist_present
132,,"S •window: V, line: 5, web: a",Coat of arms of the weavers' guild and St. Catherine (detail),https://corpusvitrearum.de/cvma-digital/bildarchiv.html?tx_cvma_archive%5B%40widget_0%5D%5BcurrentPage%5D=38&tx_cvma_archive%5Bimage%5D=1108&tx_cvma_archive%5Baction%5D=show&tx_cvma_archive%5Bcontroller%5D=Gallery&cHash=4ebffe593d71cd68a491783673788295#content,https://corpusvitrearum.de/typo3temp/cvma/_processed_/pics/medium/1108.jpg,corpus_1108.jpg,"Louis IX (the Saint), King of France; possible attributes: crown of thorns, fleur-de-lis on his cloak, three nails, scepter with fleur-de-lis, church model, hand of justice - likeness of a male saint effigy, portrait",1512/13,Transmitted light front detail,False,True,False,False,False,False,False,False,False
110,1349.0,"DOSSI, Dosso",Madonna and Child with Sts John the Baptist and Jerome,https://www.wga.hu/html/d/dossi/dosso/conversa.html,https://www.wga.hu/detail/d/dossi/dosso/conversa.jpg,web_gallery_ddossidossoconversa.jpg,"This early Sacra Conversazione is still heavily indebted to the Venetian tradition; the physiognomy and serenity of the Madonna pay direct homage to Giovanni Bellini. However, the elegance and balance in design, which he was never to abandon, are already present.",1501-1550,"Oil on canvas, 67 x 86 cm",False,False,True,True,False,False,False,False,False
69,1495.0,"FETTI, Domenico",The Repentant St Mary Magdalene,https://www.wga.hu/html/f/feti/mary_mag.html,https://www.wga.hu/detail/f/feti/mary_mag.jpg,web_gallery_ffetimary_mag.jpg,"The image of this famous repentant sinner, prototype of the penitent in Christian art, became one of the favourite subjects of European art in the sixteenth and seventeenth centuries.",1601-1650,"Oil on canvas, 98 x 78,5 cm",False,False,False,False,False,True,False,False,False
21,129.0,Francesco Zaganelli (Francesco di Bosio),Saint Lucy Object Page,https://www.metmuseum.org/art/collection/search/437957?what=Paintings&amp;showOnly=openAccess&amp;ft=saints&amp;offset=440&amp;rpp=40&amp;pos=469,https://images.metmuseum.org/CRDImages/ep/original/ep30.95.292.bw.R.jpg,met_gallery_ep30.95.292.bw.R.jpg,"This charming panel is probably from the framework of a large altarpiece. Its author was active in Ravenna, but both Francesco and his brother Bernardino were much influenced by the Ferrarese painter Erocole de' Roberti and the Bolognese painter Lorenzo Costa. This work dates to around 1500.A native of Syracuse, Saint Lucy was martyred under the Roman emperor Diocletian in 303. She is much venerated and is traditionally prayed to for eye ailments.",,Tempera and gold on wood,False,False,False,False,False,False,False,True,False
20,5166.0,"VERONESE, Paolo","Enthroned Madonna and Child, with the Infant St John the Baptist and Saints",https://www.wga.hu/html/v/veronese/03_1560s/4enthron.html,https://www.wga.hu/detail/v/veronese/03_1560s/4enthron.jpg,web_gallery_vveronese03_1560s4enthron.jpg,"Paolo Veronese left his native Verona in 1553 to settle in Venice where he came under the influence of the Venetian figurative tradition and then Mannerism, in particular of Parmigianino and Giulio Romano. The rich and complex arrangement of his compositions is matched by a brilliant use of colour, characterized by the juxtaposition of complementary colours and a vibrant solar light. One of Veronese's principal works of the 1560s, the 'Enthroned Madonna and Child, with the Infant St John the Baptist and Saints' was painted for the Sacristy of the Venetian Renaissance church of San Zaccaria (restored in 1562). It is a fine example of the early works of Veronese with its harmonious richness of colour.",1551-1600,"Oil on canvas, 341 x 193 cm",False,False,True,False,False,False,False,False,False
13,,Rosenwald Collection,"Christ Showing His Wounds to Peter, the Magdalene and the Good Thief",https://www.nga.gov/collection/art-object-page.3751.html,"https://media.nga.gov/iiif/b250c551-d8fb-46ab-a831-0280023bbac2/full/!588,600/0/default.jpg",nga_b250c551-d8fb-46ab-a831-0280023bbac2.jpg,,1480.0,woodcut,False,False,False,False,False,True,False,False,False
36,,Rosenwald Collection,Saint Mark,https://www.nga.gov/collection/art-object-page.3403.html,"https://media.nga.gov/iiif/60d905fd-18dc-487c-98de-5bd6c659877a/full/!588,600/0/default.jpg",nga_60d905fd-18dc-487c-98de-5bd6c659877a.jpg,,1460.0,engraving,False,False,False,False,False,False,True,False,False
97,,Andrew W. Mellon Collection,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [middle panel]",https://www.nga.gov/collection/art-object-page.30.html,"https://media.nga.gov/iiif/63049d6b-06b2-4e4b-9443-532df5b30fa7/full/!588,600/0/default.jpg",nga_63049d6b-06b2-4e4b-9443-532df5b30fa7.jpg,"Pietro Vannucci, called Perugino after the city in which he often lived, collaborated
 with other celebrated painters in one of the most prestigious commissions of the
 late fifteenth century -- the decoration of the walls of the Sistine Chapel in 1481-1482.
 He headed active workshops in Perugia and Florence, where he would eventually be
 overshadowed by his greatest pupil, Raphael.",1482.0,oil on panel transferred to canvas,False,False,False,False,False,True,False,False,False
53,5383.0,Giovanni di Paolo,Saint John the Baptist Entering the Wilderness,https://www.artic.edu/artworks/16156/saint-john-the-baptist-entering-the-wilderness,"https://www.artic.edu/iiif/2/e8d8a10a-0a24-6029-4fdc-3e59caaac457/full/600,/0/default.jpg",chicago_art_gallery_e8d8a10a-0a24-6029-4fdc-3e59caaac457.jpg,"This is one of six paintings illustrating scenes from the life of Saint John the Baptist, a prophet considered a forerunner of Jesus. They were originally part of a group of 12 that possibly formed the doors of a reliquary shrine to the saint. The first painting depicts John twice, leaving civilization—marked by ornate buildings and manicured agricultural fields—and entering the wilderness to become a hermit. In the next scene, John wears a hair shirt, symbolizing his ascetic life in the wilderness, as he announces that Jesus, at his right, is the savior prophesied as the agnus dei, the Lamb of God.", 1455–1460,Tempera on panel,False,False,True,False,False,False,False,False,False
2,707.0,"BUONCONSIGLIO, Giovanni",St Sebastian with St Roch and St Lawrence,https://www.wga.hu/html/b/buoncons/sebastia.html,https://www.wga.hu/detail/b/buoncons/sebastia.jpg,web_gallery_bbuonconssebastia.jpg,,1451-1500,Oil on canvas,True,False,False,False,False,False,False,False,False
59,1727.0,"GHIRLANDAIO, Domenico",St John the Evangelist on the Island of Patmos (detail),https://www.wga.hu/html/g/ghirland/domenico/7panel/02patmox.html,https://www.wga.hu/detail/g/ghirland/domenico/7panel/02patmox.jpg,web_gallery_gghirlanddomenico7panel02patmox.jpg,,1451-1500,Tempera on panel,False,False,False,False,False,False,False,False,True
49,163.0,"ANGELICO, Fra","Crucifixion with the Virgin and Sts Cosmas, John the Evangelist and Peter Martyr (Cell 38)",https://www.wga.hu/html/a/angelico/09/cells/38_cruci.html,https://www.wga.hu/detail/a/angelico/09/cells/38_cruci.jpg,web_gallery_aangelico09cells38_cruci.jpg,This is the fresco on the wall of Cell 38 of the Convento di San Marco in Florence.,1401-1450,"Fresco, 152 x 112 cm",False,False,False,False,False,False,False,False,True
142,3886.0,PINTURICCHIO,The Crucifixion with Sts Jerome and Christopher,https://www.wga.hu/html/p/pinturic/zvarious/crucifix.html,https://www.wga.hu/detail/p/pinturic/zvarious/crucifix.jpg,web_gallery_ppinturiczvariouscrucifix.jpg,"This valuable small panel was painted by the young Pinturicchio and reflects his experience as a miniaturist. This master, like Perugino, was to have a great influence on Raphael. Formerly the painting was attributed to Raphael, Carlo Crivelli, and Perugino. Since the begining of the 20th century it is universally accepted as the work of Pinturicchio.",1451-1500,"Oil on wood, 59 x 40 cm",False,False,False,True,False,False,False,False,False
42,,Rosenwald Collection,Christ Appearing to Mary Magdalene,https://www.nga.gov/collection/art-object-page.46391.html,"https://media.nga.gov/iiif/3e0293d0-dc2f-45ba-9eba-86cb7dd30bb3/full/!588,600/0/default.jpg",nga_3e0293d0-dc2f-45ba-9eba-86cb7dd30bb3.jpg,,1480.0,engraving on laid paper,False,False,False,False,False,True,False,False,False
75,5565.0,Parmigianino,Holy Family with Mary Magdalene and Male Saint,https://www.artic.edu/artworks/82435/holy-family-with-mary-magdalene-and-male-saint,"https://www.artic.edu/iiif/2/0cc9ed04-1809-a7df-453c-940d72978fde/full/600,/0/default.jpg",chicago_art_gallery_0cc9ed04-1809-a7df-453c-940d72978fde.jpg,"Suzanne Folds McCullagh and Laura M. Giles, Italian Drawings before 1600 in The Art Institute of Chicago:  A Catalogue of the Collection (Chicago, 1997), pp. 355 and 358, no. 556 (ill.).", 1580–1599,"Pen and brown ink and brush and gray wash, with touches of black chalk, on cream laid paper, laid down on cream wove card",False,False,False,False,False,True,False,False,False
43,5841.0,Guido Reni,Saint Jerome,https://www.artic.edu/artworks/111860/saint-jerome,"https://www.artic.edu/iiif/2/da8c0634-c5ca-4965-df13-461d0522fab6/full/600,/0/default.jpg",chicago_art_gallery_da8c0634-c5ca-4965-df13-461d0522fab6.jpg,"While he did produce a small number of etchings himself, Guido Reni nonetheless appreciated the possibilities offered by circulating his works via prints made in collaboration with other artists. Here Jerome appears more pensive and scholarly than in the nearby woodcut (1955.1070), made after a different Reni drawing, which shows him striking himself in the chest with a rock. While only Coriolano included an explicit halo, elegantly inscribed with the tan color block, both sheets movingly depict an impassioned saint striving for spiritual perfection in the wilderness.", 1630–1635,Etching and engraving in black on ivory laid paper,False,False,False,True,False,False,False,False,False
48,191.0,Nicolas Poussin,The Holy Family with Saint John the Baptist Object Page,https://www.metmuseum.org/art/collection/search/438025?what=Paintings&amp;showOnly=openAccess&amp;ft=saints&amp;offset=600&amp;rpp=40&amp;pos=602,https://images.metmuseum.org/CRDImages/ep/original/DP-20213-001.jpg,met_gallery_DP-20213-001.jpg,"Poussin returned to the subject of the Holy Family throughout his career. During his early years in Rome, he was especially interested in Venetian painting, studying Titian’s great mythological compositions, especially the Bacchanals, from which he took inspiration for the fruit-gathering cherubs and the landscape in this painting. The family group sits under an apple tree with a grape vine twisting around it. A lone apple sits centrally on a shroudlike blanket at the foot of the composition. As symbols of salvation, apples connect Christ to Adam through a passage from the Song of Solomon (2:3). Grapes are associated with the Eucharist and the lamb with redemption.",,Oil on canvas,False,False,True,False,False,False,False,False,False
134,3626.0,"PAGANI, Paolo",St Jerome,https://www.wga.hu/html/p/pagani_p/jerome.html,https://www.wga.hu/detail/p/pagani_p/jerome.jpg,web_gallery_ppagani_pjerome.jpg,"This picture, painted in 1685-90 by Paolo Pagani in the naturalistic style of Caravaggio, shows the lasting influence of Caravaggio. Pagani worked mainly in Venice, Milan, and Central Europe as a history painter.",1651-1700,"Oil on canvas, 118 x 149 cm",False,False,False,True,False,False,False,False,False
91,1681.0,"GHIRLANDAIO, Davide",St Jerome,https://www.wga.hu/html/g/ghirland/davide/latina1.html,https://www.wga.hu/detail/g/ghirland/davide/latina1.jpg,web_gallery_gghirlanddavidelatina1.jpg,"Between November 1475 and April 1476 Domenico Ghirlandaio and his brother Davide received payments for painting half-figure bust portraits of ancient philosophers and Church fathers, together with inscription ribbons, in the Biblioteca Latina at the Vatican Palace. These paintings were rediscovered in 1967.",1451-1500,Fresco,False,False,False,True,False,False,False,False,False
8,5885.0,Ferdinand Bol,Saint Jerome in Penitence,https://www.artic.edu/artworks/12575/saint-jerome-in-penitence,"https://www.artic.edu/iiif/2/21dc96e8-a180-a4ae-6380-a556a55d45ce/full/600,/0/default.jpg",chicago_art_gallery_21dc96e8-a180-a4ae-6380-a556a55d45ce.jpg,"Ferdinand Bol studied with Rembrandt van Rijn in Amsterdam, where he set up his own shop around 1642. Two years later, he produced this atmospheric etching of Saint Jerome, which is particularly reminiscent of the master in its shadows and arched top. Although his early works were long mistaken for Rembrandt’s, Bol signed this print at the bottom right. He would eventually trade the dark palette and historical figure studies of the older artist for a lighter tonality and more elite clientele, which would make him one of the most financially successful Dutch painters of his era.", 1644,Etching on ivory laid paper,False,False,False,True,False,False,False,False,False
115,4709.0,TINTORETTO,The Birth of John the Baptist,https://www.wga.hu/html/t/tintoret/2_1550s/04birth.html,https://www.wga.hu/detail/t/tintoret/2_1550s/04birth.jpg,web_gallery_ttintoret2_1550s04birth.jpg,"The Archangel Gabriel announced to Zacharias that his wife Elisabeth, already advanced in years and considered infertile, would bear him a son, and when Zacharias doubted the angel he was struck dumb. Tintoretto shows Zacharias (on the right of the picture) recovering his power of speech and breaking into a song of praise to the Lord.",1551-1600,"Oil on canvas, 181 x 266 cm",False,False,True,False,False,False,False,False,False
19,4824.0,TIZIANO Vecellio,St Jerome,https://www.wga.hu/html/t/tiziano/07_1570s/02jerome.html,https://www.wga.hu/detail/t/tiziano/07_1570s/02jerome.jpg,web_gallery_ttiziano07_1570s02jerome.jpg,"As in many of Titian's late works, there are justified doubts as to the extent to which Titian worked on this painting. It is indeed extremely difficult to judge whether figures as flat as those in this picture are indeed part of the artists late work. The same is true of the books and the hour-glass on the left.",1501-1550,"Oil on canvas, 184 x 177 cm",False,False,False,True,False,False,False,False,False
7,1414.0,"DYCK, Sir Anthony van",St Jerome,https://www.wga.hu/html/d/dyck_van/3other/jerome.html,https://www.wga.hu/detail/d/dyck_van/3other/jerome.jpg,web_gallery_ddyck_van3otherjerome.jpg,"This painting is van Dyck's earliest large format religious composition which is based on an earlier painting by his master, Rubens.",1601-1650,"Oil on canvas, 158 x 131 cm",False,False,False,True,False,False,False,False,False
133,5635.0,Circle of Donato Creti,Saint John the Baptist in the Wilderness,https://www.artic.edu/artworks/82443/saint-john-the-baptist-in-the-wilderness,"https://www.artic.edu/iiif/2/4fcde30a-baa3-6731-ca1b-f6da0271de09/full/600,/0/default.jpg",chicago_art_gallery_4fcde30a-baa3-6731-ca1b-f6da0271de09.jpg,"Object information is a work in progress and may be updated as new research findings emerge. To help improve this record, please email . Information about image downloads and licensing is available here.",Made 1600–1699,"Pen and brown ink with brush and gray wash, on ivory laid paper, laid down on ivory laid paper",False,False,True,False,False,False,False,False,False
57,4118.0,"RENI, Guido",St Sebastian,https://www.wga.hu/html/r/reni/1/sebasti1.html,https://www.wga.hu/detail/r/reni/1/sebasti1.jpg,web_gallery_rreni1sebasti1.jpg,"During his career Reni and his workshop produced two types of images of St Sebastian, which exist in various versions. The first type, from around 1615, exists in the autograph work now in the Musei di Strada Nuova, Palazzo Rosso in Genoa. Reni returned to the subject around 1616-17, with a different, larger composition. Many versions exist of this work, the painting in the Dulwich Gallery, London, is most likely the original and first one.",1601-1650,"Oil on canvas, 170 x 130 cm",True,False,False,False,False,False,False,False,False
17,5530.0,School of Guido Reni,"Saint Joseph and Christ Child, with Saints Mark and Anthony",https://www.artic.edu/artworks/84861/saint-joseph-and-christ-child-with-saints-mark-and-anthony,"https://www.artic.edu/iiif/2/321e6e3b-2f7f-951d-f084-8d0faa9a93d7/full/600,/0/default.jpg",chicago_art_gallery_321e6e3b-2f7f-951d-f084-8d0faa9a93d7.jpg,"Object information is a work in progress and may be updated as new research findings emerge. To help improve this record, please email . Information about image downloads and licensing is available here.", 1595–1699,"Pen and brown ink, with brush and brown wash, on tan laid paper, squared in black chalk, laid down on gray laid paper",False,False,False,False,False,False,True,False,False
95,,Samuel H. Kress Collection,Chalice of Saint John the Evangelist [reverse],https://www.nga.gov/collection/art-object-page.41660.html,"https://media.nga.gov/iiif/1a761edd-c52e-47c0-b422-df074e14c803/full/!588,600/0/default.jpg",nga_1a761edd-c52e-47c0-b422-df074e14c803.jpg,,1470.0,oil on panel,False,False,False,False,False,False,False,False,True
63,914.0,"CARRACCI, Annibale",The Mystic Marriage of St Catherine,https://www.wga.hu/html/c/carracci/annibale/1/mystic_m.html,https://www.wga.hu/detail/c/carracci/annibale/1/mystic_m.jpg,web_gallery_ccarracciannibale1mystic_m.jpg,This picture was once in the Farnese collection. The scene's elegant if almost overpowering sweetness is directly derived from Correggio. This can clearly be seen from the saint's downcast but slightly smiling eyes. The dark background emphasizes the softness of the light coming in from one side.,1551-1600,Oil on canvas,False,True,False,False,False,False,False,False,False
24,,"s •window: XXIII, line: 3, web: c",Hl. Catherine,https://corpusvitrearum.de/cvma-digital/bildarchiv.html?tx_cvma_archive%5Bimage%5D=1268&tx_cvma_archive%5B%40widget_0%5D%5BcurrentPage%5D=40&tx_cvma_archive%5Baction%5D=show&tx_cvma_archive%5Bcontroller%5D=Gallery&cHash=fd255939a9b93b24c694b52fd1682d6f#content,https://corpusvitrearum.de/typo3temp/cvma/_processed_/pics/medium/1268.jpg,corpus_1268.jpg,"male saints (with NAME) - martyrdom, suffering, failure, death of a male saint execution, suffering, martyr, torturingOrnaments derived from vegetable forms - AA - stylizedinscription, inscription inscription, inscription",a 1270/75,Transmitted light front single shot,False,True,False,False,False,False,False,False,False
43,5145.0,"VERONESE, Paolo",Sts Mark and Marcellinus Being Led to Martyrdom (detail),https://www.wga.hu/html/v/veronese/02a/1choir/1marcel1.html,https://www.wga.hu/detail/v/veronese/02a/1choir/1marcel1.jpg,web_gallery_vveronese02a1choir1marcel1.jpg,"The two brothers, guilty of confessing their Christian faith, allow themselves to be lead to their deaths, obedient to St Sebastian's firm signal, despite the supplications of parents, wives, and children.",1551-1600,Oil on canvas,False,False,False,False,False,False,True,False,False
62,4183.0,"RICCI, Sebastiano",St Francis of Paola Resuscitating a Dead Child (detail),https://www.wga.hu/html/r/ricci/sebastia/2/fr_paolc.html,https://www.wga.hu/detail/r/ricci/sebastia/2/fr_paolc.jpg,web_gallery_rriccisebastia2fr_paolc.jpg,,1701-1750,Oil on canvas,False,False,False,False,True,False,False,False,False
8,2856.0,"LOTTO, Lorenzo",St Lucy before Paschasius and St Lucy Harnessed to Oxen,https://www.wga.hu/html/l/lotto/4/15lucy4.html,https://www.wga.hu/detail/l/lotto/4/15lucy4.jpg,web_gallery_llotto415lucy4.jpg,"The predella of the St Lucy Altarpiece was constituted by three panels, from left to right: St Lucy at the Tomb of St Agatha; St Lucy before Paschasius and St Lucy Harnessed to Oxen; Teams of Oxen. The altarpiece was commissioned from Lotto by the Confraternity of St Lucy in Iesi in 1523.",1501-1550,"Oil on wood, 32 x 69 cm",False,False,False,False,False,False,False,True,False
48,1329.0,DOMENICHINO,Mary Magdalene Taken up to Heaven,https://www.wga.hu/html/d/domenich/1/marymagd.html,https://www.wga.hu/detail/d/domenich/1/marymagd.jpg,web_gallery_ddomenich1marymagd.jpg,,1601-1650,"Oil on canvas, 129 x 110 cm",False,False,False,False,False,True,False,False,False
